"","Connective","SENT_ID","chi_surp","OOV","seq_len","TARGET_WORD","freq","chi_surp_llama2Chinese7B","OOV_llama2Chinese7B","seq_len_llama2Chinese7B","Plausibility","Z_Surp","Z_Surp_llama"
"218","ConnectiveH",38,4.57,1,37,"被捕",4.62,8.07,1,26,"Plausible",-0.898718389547252,0.209291475821067
"219","ConnectiveH",39,8.23,1,39,"生气",4.64,6.88,0,24,"Implausible",-0.12529273375141,-0.0364238636132644
"220","ConnectiveN",40,5.55,1,38,"倒地",3.66,0.32,1,29,"Plausible",-0.691626274060933,-1.39095548267983
"221","ConnectiveN",41,7.96,1,38,"孤独",4.37,7.38,0,26,"Implausible",-0.182348724752742,0.0668178756448581
"222","ConnectiveH",42,12.74,1,38,"注销",3.83,16.31,0,22,"Plausible",0.827753634456035,1.91071533879493
"223","ConnectiveH",43,4.94,1,38,"取消",5.05,5.12,0,26,"Implausible",-0.820530550026907,-0.399834785801856
"224","ConnectiveN",44,0,1,37,"蜡烛",4.17,0,1,22,"Plausible",-1.8644438668661,-1.45703019580503
"225","ConnectiveN",45,13.49,1,37,"庆祝",4.68,11.74,0,27,"Implausible",0.986242498348626,0.967085841975686
"226","ConnectiveH",46,9.81,1,38,"开心",4.96,4.33,0,28,"Plausible",0.208590472848981,-0.562956733829689
"227","ConnectiveH",47,15.29,0,38,"累",4.5,14.08,0,26,"Implausible",1.36661577169084,1.4502571817037
"228","ConnectiveN",48,11.14,0,37,"慌",3.81,11.08,0,24,"Plausible",0.489644058151842,0.830806746154965
