"","SOS_ID","ITEM_ID","SENT_ID","Connective","ita_surp_GePpeTto","OOV_GePpeTto","seq_len_GePpeTto","TARGET_WORD","freq","ita_surp_GroNLP","OOV_GroNLP","seq_len_GroNLP","ita_surp_llama2Italian7B","OOV_llama2Italian7B","seq_len_llama2Italian7B","Plausibility","Z_Surp_GePpeTto","Z_Surp_GroNLP","Z_Surp_llama2Italian7B"
"588","SR4b_58",138,549,"ConnectiveN",22.24,1,30,"ostriche",3.16,25.27,1,31,26.06,1,45,"Plausible",2.24017936999064,2.30623825972833,1.78669691319746
"589","SR2b_61",141,562,"ConnectiveN",7.12,0,33,"accettare",4.69,7.15,0,33,23.04,1,46,"Implausible",-0.419340498904767,-0.616631574009235,1.41679748524698
"590","SR2b_62",142,567,"ConnectiveH",14.53,0,33,"professionale",4.54,13.58,0,35,16.93,1,46,"Implausible",0.884035309859448,0.42056782063384,0.668424801545845
"591","SR2b_63",143,572,"ConnectiveH",12.67,1,30,"comodi",3.78,24.52,1,31,11.8,1,42,"Plausible",0.55687215138422,2.185258548067,0.0400857070471832
"592","SR1b_65",145,577,"ConnectiveN",4.89,0,29,"felice",5.13,3.69,0,30,8.09,1,42,"Plausible",-0.811584500732595,-1.17475131047347,-0.414327166362181
"593","SR4b_67",147,586,"ConnectiveN",11.04,0,25,"critiche",4.51,11.43,0,25,15.91,1,40,"Implausible",0.270164652290337,0.073759313871381,0.543491882171843
"594","SR3b_69",149,595,"ConnectiveH",4.49,0,26,"disordine",3.87,5.67,0,28,8.75,1,35,"Implausible",-0.881942169221891,-0.855364871687579,-0.333488218531944
"595","SR3b_70",150,600,"ConnectiveH",2.53,0,28,"carabinieri",4.5,2.74,0,28,6.14,1,42,"Plausible",-1.22669474481944,-1.32799227857781,-0.653169512224246
"596","SR3b_71",151,601,"ConnectiveN",8.15,0,32,"cessato",3.42,10.89,0,32,17.94,1,48,"Plausible",-0.238169502544829,-0.0133460785247714,0.792132888376966
"597","SR2b_73",153,610,"ConnectiveN",10.45,0,25,"festeggiare",4.31,10.57,0,26,28.91,1,40,"Implausible",0.166387091268625,-0.0649640888336025,2.13577418791894
"598","SR2b_74",154,615,"ConnectiveH",24.44,1,32,"antidolorifici",2.89,39.25,1,33,22.85,1,45,"Implausible",2.62714654668177,4.56130008509539,1.39352566693222
"599","SR2b_75",155,620,"ConnectiveH",3.18,0,28,"rose",4.43,4.54,0,30,0.52,0,41,"Plausible",-1.11236353352434,-1.03764097059064,-1.34152540132414
"600","SR2b_76",156,621,"ConnectiveN",11.56,0,27,"gallerie",3.87,14.04,0,28,14.84,1,39,"Plausible",0.361629621326422,0.494768710452785,0.412434800083427
"601","2SR2a_06",6,23,"ConnectiveE",9.9,1,31,"migliorò",2.56,15.75,1,31,5.7,1,46,"Implausible",0.0696452970958424,0.770602453040601,-0.70706214411107
"602","2SR2a_07",7,28,"ConnectiveE",7.32,0,34,"ferito",4.38,8.34,0,34,8.07,1,48,"Plausible",-0.384161664660119,-0.424677098173269,-0.416776831447946
"603","2SR2a_08",8,29,"ConnectiveN",23.32,1,29,"festeggiato",3.72,24.05,1,31,49.89,1,45,"Plausible",2.43014507491174,2.10944459542591,4.70547286288618
"604","2SR2a_09",9,34,"ConnectiveN",5.02,1,29,"applaudito",2.95,6.07,1,29,6.04,1,39,"Implausible",-0.788718258473574,-0.79084235880154,-0.665417837653069
"605","2SR1a_11",11,43,"ConnectiveE",7.74,1,32,"imprigionati",3.17,9.71,1,32,14.46,1,51,"Implausible",-0.310286112746358,-0.203687491538586,0.365891163453897
"606","2SR1a_12",12,48,"ConnectiveE",6.02,0,33,"felici",4.58,6.35,0,34,18.38,1,46,"Plausible",-0.612824087250333,-0.745676599781313,0.846025520263791
"607","2SR1a_13",13,49,"ConnectiveN",5.96,1,31,"prurito",3.37,10.8,1,32,6.73,1,42,"Plausible",-0.623377737523727,-0.0278636439241301,-0.580904392194185
"608","2SR1a_14",14,54,"ConnectiveN",9.19,0,26,"firmato",4.51,10.01,0,26,15.81,1,37,"Implausible",-0.0552395644726588,-0.155295606874057,0.531243556743019
"609","2SR1a_15",15,59,"ConnectiveE",13.22,1,35,"sporchi",3.81,14.98,1,35,15.15,1,48,"Implausible",0.653613945557002,0.646396615734976,0.450404608912781
"610","2SR4a_17",17,68,"ConnectiveE",10.87,1,33,"magro",3.73,13.2,1,34,5.43,1,45,"Plausible",0.240262643182386,0.359271433392103,-0.740132622768895
"611","2SR3a_19",19,73,"ConnectiveN",5.27,1,30,"diminuiti",3.28,5.63,1,30,5.46,1,48,"Plausible",-0.744744715667763,-0.861817122976183,-0.736458125140248
"612","2SR3a_20",20,78,"ConnectiveN",6.85,0,26,"preoccupati",3.91,8.31,0,27,14.08,1,35,"Implausible",-0.466831925135043,-0.429516286639722,0.319347526824366
"613","2SR3a_21",21,83,"ConnectiveE",6.1,0,29,"finì",3.77,5.82,0,29,9.98,1,38,"Implausible",-0.598752553552473,-0.831168929355314,-0.182833815757411
"614","2SR2a_23",23,92,"ConnectiveE",18.33,1,34,"esultato",2.78,23.18,1,34,16.49,1,48,"Plausible",1.55243316050776,1.96910812989877,0.61453216965902
"615","2SR2a_24",24,93,"ConnectiveN",15.38,0,36,"punto",5.62,14.3,0,36,13.64,0,48,"Plausible",1.0335453553992,0.53670834382871,0.265454894937542
"616","2SR2a_25",25,98,"ConnectiveN",9.5,1,31,"erbacce",3.12,17.16,1,32,10.55,1,44,"Implausible",-0.000712371393454028,0.998044310963888,-0.113018360813115
"617","2SR2a_26",26,103,"ConnectiveE",7.37,1,33,"delusa",3.65,11.43,1,33,18.38,1,46,"Implausible",-0.375366956098957,0.073759313871381,0.846025520263791
"618","2SR2a_27",27,108,"ConnectiveE",3.03,0,28,"negative",4.06,3.67,0,28,2.32,0,43,"Plausible",-1.13874765920782,-1.17797743611777,-1.12105554360532
"619","2SR1a_29",29,113,"ConnectiveN",6.71,0,34,"promozione",4.65,5.87,0,34,9.62,1,50,"Plausible",-0.491457109106296,-0.823103615244559,-0.226927787301176
"620","2SR4a_31",31,122,"ConnectiveN",4.91,1,29,"arrestata",3.78,7.27,1,29,5.81,1,36,"Implausible",-0.80806661730813,-0.597274820143423,-0.693588986139364
"621","2SR4a_32",32,127,"ConnectiveE",9.81,1,33,"furioso",3.66,9,1,33,8.48,1,52,"Implausible",0.0538148216857508,-0.318214951911305,-0.366558697189768
